 Mortalidade - Brasil - Dados preliminares
Óbitos p/Residênc por Município e Faixa Etária
Causas evitáveis - 0 a 4 anos: 1.1. Reduzível pelas ações de imunização, 1.2.1 Reduzíveis atenção à mulher na gestação, 1.2.2 Reduz por adequada atenção à mulher no parto, 1.2.3 Reduzíveis adequada atenção ao recém-nascido, 1.3. Reduz ações diagnóstico e tratamento adequado, 1.4. Reduz. ações promoção à saúde vinc. Aç. At
Faixa Etária: Menor 1 ano, 1 a 4 anos, 5 a 9 anos
Período:2017
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"Total"
"431150 Lavras do Sul";1;1;-;2
"431164 Linha Nova";1;-;-;1
"431180 Marau";3;-;-;3
"431190 Marcelino Ramos";-;1;-;1
"431220 Maximiliano de Almeida";1;-;-;1
"431237 Monte Alegre dos Campos";-;1;-;1
"431240 Montenegro";3;1;-;4
"431242 Mormaço";2;-;-;2
"431244 Morrinhos do Sul";1;-;-;1
"431265 Não-Me-Toque";2;1;-;3
"431267 Nicolau Vergueiro";1;-;-;1
"431270 Nonoai";2;-;-;2
"431290 Nova Bassano";2;-;-;2
"431295 Nova Boa Vista";2;-;-;2
"431310 Nova Palma";1;-;-;1
"431320 Nova Petrópolis";1;2;-;3
"431330 Nova Prata";1;-;-;1
"431333 Nova Ramada";-;-;1;1
"431335 Nova Roma do Sul";1;-;-;1
"431337 Nova Santa Rita";5;-;-;5
"431349 Novo Barreiro";1;-;-;1
"431339 Novo Cabrais";1;-;-;1
"431340 Novo Hamburgo";29;5;-;34
"431342 Novo Machado";1;-;-;1
"431344 Novo Tiradentes";1;-;-;1
"431350 Osório";4;-;-;4
"431365 Palmares do Sul";-;-;1;1
"431370 Palmeira das Missões";3;-;-;3
"431390 Panambi";2;-;-;2
"431400 Paraí";1;-;-;1
"431405 Parobé";2;-;-;2
"431406 Passa Sete";1;-;-;1
"431410 Passo Fundo";22;1;1;24
"431413 Paulo Bento";1;-;-;1
"431440 Pelotas";28;4;1;33
"431445 Pinhal";1;-;-;1
"431450 Pinheiro Machado";1;-;-;1
"431460 Piratini";2;-;-;2
"431470 Planalto";2;-;-;2
"431477 Pontão";-;1;-;1
"431480 Portão";1;1;1;3
"431490 Porto Alegre";114;13;7;134
"431530 Quaraí";6;-;-;6
"431535 Quinze de Novembro";1;-;-;1
"431540 Redentora";2;1;-;3
"431550 Restinga Seca";2;-;-;2
"431560 Rio Grande";22;4;1;27
"431570 Rio Pardo";3;-;-;3
"431580 Roca Sales";1;-;-;1
"431600 Rolante";1;-;-;1
"431640 Rosário do Sul";1;2;-;3
"431642 Sagrada Família";1;-;-;1
"431710 Sant'Ana do Livramento";13;4;-;17
"431670 Santa Bárbara do Sul";1;-;-;1
"431680 Santa Cruz do Sul";13;-;2;15
"431690 Santa Maria";19;3;1;23
"431720 Santa Rosa";13;-;-;13
"431740 Santiago";4;-;-;4
"431750 Santo Ângelo";8;2;-;10
"431760 Santo Antônio da Patrulha";5;2;-;7
"431770 Santo Antônio das Missões";1;-;-;1
"431800 São Borja";7;-;1;8
"431805 São Domingos do Sul";1;-;-;1
"431810 São Francisco de Assis";-;1;1;2
"431820 São Francisco de Paula";2;1;-;3
"431830 São Gabriel";9;1;-;10
"431840 São Jerônimo";2;1;-;3
"431849 São José do Inhacorá";3;-;-;3
"431850 São José do Norte";1;1;-;2
"431870 São Leopoldo";23;1;-;24
"431880 São Lourenço do Sul";1;-;-;1
"431890 São Luiz Gonzaga";3;-;1;4
"431900 São Marcos";1;-;-;1
"431912 São Martinho da Serra";1;-;-;1
"431915 São Miguel das Missões";-;-;1;1
"431940 São Pedro do Sul";2;-;-;2
"431950 São Sebastião do Caí";3;-;-;3
"431960 São Sepé";1;-;-;1
"431990 Sapiranga";5;2;-;7
"432000 Sapucaia do Sul";12;4;1;17
"432020 Seberi";2;-;-;2
"432032 Senador Salgado Filho";1;-;-;1
"432040 Serafina Corrêa";3;-;-;3
"432070 Sobradinho";1;-;-;1
"432080 Soledade";4;-;1;5
"432090 Tapejara";3;-;-;3
"432120 Taquara";2;-;1;3
"432130 Taquari";2;1;-;3
"432135 Tavares";1;-;-;1
"432140 Tenente Portela";2;-;-;2
"432143 Terra de Areia";1;-;-;1
"432145 Teutônia";2;-;-;2
"432149 Toropi";-;1;-;1
"432150 Torres";-;1;-;1
"432160 Tramandaí";5;-;-;5
"432170 Três Coroas";1;-;1;2
"432180 Três de Maio";4;-;-;4
"432190 Três Passos";2;-;-;2
"432195 Trindade do Sul";-;1;-;1
"432200 Triunfo";4;-;-;4
"432210 Tucunduva";1;-;-;1
"432220 Tupanciretã";3;-;-;3
"432234 Ubiretama";-;-;1;1
"432237 Unistalda";1;-;-;1
"432240 Uruguaiana";16;1;-;17
"432250 Vacaria";9;1;-;10
"432253 Vale do Sol";1;-;-;1
"432260 Venâncio Aires";4;-;-;4
"432270 Vera Cruz";2;1;-;3
"432280 Veranópolis";2;-;-;2
"432300 Viamão";21;7;2;30
"432350 Vista Alegre";2;-;-;2
"432370 Vista Gaúcha";-;-;1;1
"432380 Xangri-lá";1;1;-;2
"500020 Água Clara";2;-;1;3
"500060 Amambai";7;3;1;11
"500070 Anastácio";5;1;-;6
"500085 Angélica";-;-;1;1
"500090 Antônio João";3;-;-;3
"500100 Aparecida do Taboado";2;-;-;2
"500110 Aquidauana";6;1;-;7
"500150 Bandeirantes";1;-;-;1
"500190 Bataguassu";2;-;-;2
"500200 Batayporã";2;1;-;3
"500210 Bela Vista";8;-;-;8
"500215 Bodoquena";3;-;-;3
"500220 Bonito";2;-;-;2
"500230 Brasilândia";-;-;1;1
"500240 Caarapó";1;1;-;2
"500260 Camapuã";2;-;-;2
"500270 Campo Grande";75;15;3;93
"500290 Cassilândia";-;-;1;1
"500295 Chapadão do Sul";4;-;-;4
"500310 Corguinho";2;-;-;2
"500315 Coronel Sapucaia";5;-;-;5
"500320 Corumbá";25;7;1;33
"500325 Costa Rica";2;1;-;3
"500330 Coxim";2;1;1;4
"500370 Dourados";22;6;3;31
"500375 Eldorado";2;1;1;4
"500380 Fátima do Sul";2;-;-;2
"500390 Figueirão";-;-;1;1
"500400 Glória de Dourados";-;-;1;1
"500410 Guia Lopes da Laguna";1;-;-;1
"500430 Iguatemi";1;-;-;1
"500440 Inocência";2;-;-;2
"500450 Itaporã";2;-;-;2
"500460 Itaquiraí";2;-;-;2
"500470 Ivinhema";2;-;-;2
"500480 Japorã";1;1;-;2
"500490 Jaraguari";-;1;-;1
"500500 Jardim";2;-;-;2
"500515 Juti";2;-;-;2
"500520 Ladário";7;-;-;7
"500525 Laguna Carapã";1;-;-;1
"500540 Maracaju";3;1;1;5
"500560 Miranda";7;-;1;8
"500568 Mundo Novo";5;-;-;5
"500570 Naviraí";5;2;-;7
"500580 Nioaque";1;-;-;1
"500600 Nova Alvorada do Sul";2;-;-;2
"500620 Nova Andradina";3;2;1;6
"500630 Paranaíba";3;1;-;4
"500635 Paranhos";4;-;-;4
"500660 Ponta Porã";12;1;-;13
"500690 Porto Murtinho";1;-;-;1
"500710 Ribas do Rio Pardo";2;-;1;3
"500720 Rio Brilhante";5;-;-;5
"500740 Rio Verde de Mato Grosso";3;3;-;6
"500769 São Gabriel do Oeste";2;-;-;2
"500770 Sete Quedas";1;-;-;1
"500790 Sidrolândia";6;-;-;6
"500793 Sonora";-;-;1;1
"500795 Tacuru";6;-;1;7
"500797 Taquarussu";2;-;-;2
"500800 Terenos";1;-;-;1
"500830 Três Lagoas";15;4;2;21
"510010 Acorizal";-;1;-;1
"510020 Água Boa";2;3;-;5
"510025 Alta Floresta";9;1;-;10
"510030 Alto Araguaia";1;-;-;1
"510035 Alto Boa Vista";-;1;-;1
"510080 Apiacás";1;1;-;2
"510125 Araputanga";1;1;-;2
"510130 Arenápolis";2;1;-;3
"510140 Aripuanã";7;-;1;8
"510160 Barão de Melgaço";1;-;1;2
"510170 Barra do Bugres";4;-;-;4
"510180 Barra do Garças";19;2;1;22
"510185 Bom Jesus do Araguaia";1;1;-;2
"510190 Brasnorte";3;-;-;3
"510250 Cáceres";15;2;-;17
"510260 Campinápolis";11;15;-;26
"510263 Campo Novo do Parecis";4;1;-;5
"510267 Campo Verde";5;1;-;6
"510268 Campos de Júlio";1;-;-;1
"510269 Canabrava do Norte";-;1;-;1
"510270 Canarana";5;1;-;6
"510279 Carlinda";3;-;-;3
"510300 Chapada dos Guimarães";4;-;-;4
"510305 Cláudia";1;-;-;1
"510320 Colíder";5;-;-;5
"510325 Colniza";4;-;-;4
"510330 Comodoro";1;3;-;4
"510335 Confresa";6;-;-;6
"510340 Cuiabá";74;9;3;86
"510343 Curvelândia";-;-;2;2
"510345 Denise";1;-;-;1
"510350 Diamantino";1;-;-;1
"510370 Feliz Natal";2;1;-;3
"510385 Gaúcha do Norte";1;-;-;1
"510390 General Carneiro";3;3;-;6
"510410 Guarantã do Norte";3;-;-;3
"510420 Guiratinga";-;1;-;1
"510454 Itanhangá";2;-;-;2
"510455 Itaúba";1;-;-;1
"510460 Itiquira";1;-;-;1
"510480 Jaciara";2;-;-;2
"510490 Jangada";1;-;1;2
"510500 Jauru";1;-;-;1
"510510 Juara";4;2;1;7
"510515 Juína";7;2;-;9
"510517 Juruena";-;1;-;1
"510520 Juscimeira";1;-;1;2
"510523 Lambari D'Oeste";1;-;-;1
"510525 Lucas do Rio Verde";13;-;1;14
"510558 Marcelândia";1;-;-;1
"510560 Matupá";3;-;-;3
"510562 Mirassol d'Oeste";4;-;-;4
"510590 Nobres";3;-;1;4
"510610 Nossa Senhora do Livramento";-;2;-;2
"510615 Nova Bandeirantes";3;2;1;6
"510621 Nova Canaã do Norte";1;-;-;1
"510880 Nova Guarita";1;-;-;1
"510618 Nova Lacerda";2;-;-;2
"510890 Nova Maringá";1;1;-;2
"510895 Nova Monte Verde";1;-;-;1
"510622 Nova Mutum";7;3;-;10
"510617 Nova Nazaré";2;-;-;2
"510623 Nova Olímpia";2;-;-;2
"510625 Nova Xavantina";1;1;-;2
"510631 Novo Santo Antônio";1;-;-;1
"510629 Paranaíta";4;1;-;5
"510630 Paranatinga";5;1;-;6
"510637 Pedra Preta";5;-;-;5
"510642 Peixoto de Azevedo";5;1;-;6
"510650 Poconé";5;-;1;6
"510665 Pontal do Araguaia";-;-;1;1
"510675 Pontes e Lacerda";10;1;-;11
"510677 Porto Alegre do Norte";1;-;-;1
"510680 Porto dos Gaúchos";2;-;-;2
"510682 Porto Esperidião";4;-;-;4
"510700 Poxoréo";2;-;-;2
"510704 Primavera do Leste";2;-;2;4
"510706 Querência";1;1;-;2
"510718 Ribeirão Cascalheira";1;2;-;3
"510760 Rondonópolis";24;1;2;27
"510770 Rosário Oeste";-;-;1;1
"510724 Santa Carmem";1;-;-;1
"510777 Santa Terezinha";1;-;-;1
"510779 Santo Antônio do Leste";3;1;-;4
"510785 São Félix do Araguaia";1;2;-;3
"510730 São José do Rio Claro";2;-;-;2
"510740 São Pedro da Cipa";-;1;-;1
"510787 Sapezal";5;-;-;5
"510790 Sinop";23;6;1;30
"510792 Sorriso";15;5;-;20
"510794 Tabaporã";2;-;-;2
"510795 Tangará da Serra";13;3;1;17
"510800 Tapurah";-;1;-;1
"510805 Terra Nova do Norte";2;-;-;2
"510840 Várzea Grande";48;5;-;53
"510850 Vera";1;-;-;1
"510550 Vila Bela da Santíssima Trindade";5;2;1;8
"510860 Vila Rica";1;3;-;4
"520005 Abadia de Goiás";2;1;-;3
"520010 Abadiânia";2;-;-;2
"520013 Acreúna";3;1;-;4
"520025 Águas Lindas de Goiás";20;1;2;23
"520030 Alexânia";2;-;1;3
"520055 Alto Horizonte";-;-;1;1
"520060 Alto Paraíso de Goiás";1;-;-;1
"520080 Alvorada do Norte";2;1;-;3
"520085 Americano do Brasil";3;-;-;3
"520110 Anápolis";45;2;1;48
"520130 Anicuns";1;-;-;1
"520140 Aparecida de Goiânia";82;2;6;90
"520150 Aporé";1;-;-;1
"520160 Araçu";1;-;-;1
"520170 Aragarças";4;-;-;4
"520180 Aragoiânia";1;-;-;1
"520235 Arenópolis";1;-;-;1
"520250 Aruanã";2;-;-;2
"520320 Barro Alto";1;-;-;1
"520330 Bela Vista de Goiás";5;2;-;7
"520340 Bom Jardim de Goiás";2;-;-;2
"520350 Bom Jesus de Goiás";5;-;-;5
"520355 Bonfinópolis";-;1;-;1
"520380 Britânia";1;-;-;1
"520390 Buriti Alegre";1;-;-;1
"520396 Buritinópolis";1;-;1;2
"520400 Cabeceiras";2;-;-;2
"520425 Cachoeira Dourada";1;-;-;1
"520430 Caçu";3;-;-;3
"520440 Caiapônia";2;-;-;2
"520450 Caldas Novas";8;2;-;10
"520460 Campestre de Goiás";1;-;-;1
"520465 Campinaçu";2;-;-;2
"520470 Campinorte";1;-;-;1
"520480 Campo Alegre de Goiás";1;-;-;1
"520485 Campo Limpo de Goiás";-;1;-;1
"520490 Campos Belos";3;1;-;4
"520495 Campos Verdes";1;1;1;3
"520510 Catalão";10;1;-;11
"520520 Caturaí";1;-;-;1
"520530 Cavalcante";1;-;-;1
"520540 Ceres";1;-;-;1
"520545 Cezarina";1;-;1;2
"520549 Cidade Ocidental";4;1;-;5
"520551 Cocalzinho de Goiás";3;1;-;4
"520552 Colinas do Sul";1;-;-;1
"520570 Córrego do Ouro";3;-;-;3
"520590 Corumbaíba";1;-;-;1
"520620 Cristalina";4;-;-;4
"520640 Crixás";2;-;-;2
"520710 Diorama";1;-;-;1
"520725 Doverlândia";1;-;-;1
"520735 Edealina";-;-;1;1
"520740 Edéia";1;-;-;1
"520753 Faina";1;-;-;1
"520780 Firminópolis";1;-;-;1
"520800 Formosa";8;3;1;12
"520840 Goianápolis";2;-;2;4
"520860 Goianésia";5;1;-;6
"520870 Goiânia";154;15;7;176
"520880 Goianira";4;-;-;4
"520890 Goiás";4;-;-;4
"520910 Goiatuba";2;1;2;5
"520915 Gouvelândia";1;-;-;1
"520920 Guapó";1;1;-;2
"520970 Hidrolândia";3;1;-;4
"520990 Iaciara";1;1;-;2
"520995 Indiara";-;1;1;2
"521000 Inhumas";10;-;1;11
"521010 Ipameri";4;-;1;5
"521020 Iporá";3;1;1;5
"521040 Itaberaí";3;-;-;3
"521060 Itaguaru";2;-;-;2
"521100 Itapirapuã";1;-;-;1
"521120 Itapuranga";3;-;-;3
"521150 Itumbiara";9;1;1;11
"521180 Jaraguá";6;-;1;7
"521190 Jataí";13;-;2;15
"521200 Jaupaci";1;-;-;1
"521205 Jesúpolis";1;-;-;1
"521220 Jussara";1;-;-;1
"521230 Leopoldo de Bulhões";1;-;-;1
"521250 Luziânia";21;6;1;28
"521270 Mambaí";1;-;-;1
"521280 Mara Rosa";1;-;-;1
"521295 Matrinchã";1;-;-;1
"521308 Minaçu";-;2;-;2
"521310 Mineiros";9;1;-;10
"521340 Moiporá";1;-;-;1
"521370 Montes Claros de Goiás";1;-;-;1
"521380 Morrinhos";4;-;-;4
"521400 Mozarlândia";3;-;-;3
"521405 Mundo Novo";1;-;-;1
"521450 Nerópolis";9;1;-;10
"521460 Niquelândia";3;-;-;3
"521483 Nova Crixás";1;-;-;1
"521486 Nova Glória";-;1;-;1
"521490 Nova Roma";1;-;-;1
"521500 Nova Veneza";1;-;-;1
"521523 Novo Gama";13;2;-;15
"521540 Ouro Verde de Goiás";1;-;-;1
"521550 Ouvidor";2;-;-;2
"521560 Padre Bernardo";6;1;2;9
"521570 Palmeiras de Goiás";1;-;-;1
"521630 Paranaiguara";1;-;-;1
"521640 Paraúna";1;-;-;1
"521710 Piracanjuba";4;-;1;5
"521720 Piranhas";1;1;-;2
"521740 Pires do Rio";3;-;-;3
"521760 Planaltina";12;1;1;14
"521800 Porangatu";1;-;-;1
"521830 Posse";1;1;1;3
"521839 Professor Jamil";-;1;-;1
"521850 Quirinópolis";6;-;-;6
"521878 Rio Quente";-;1;-;1
"521880 Rio Verde";28;6;2;36
"521890 Rubiataba";-;-;1;1
"521900 Sanclerlândia";1;-;-;1
"521910 Santa Bárbara de Goiás";1;-;-;1
"521930 Santa Helena de Goiás";4;2;-;6
"521960 Santa Tereza de Goiás";1;-;-;1
"521970 Santa Terezinha de Goiás";1;-;-;1
"521975 Santo Antônio do Descoberto";12;1;-;13
"521980 São Domingos";2;-;-;2
"521990 São Francisco de Goiás";2;-;-;2
"522000 São João d'Aliança";7;-;-;7
"522010 São Luís de Montes Belos";4;1;-;5
"522020 São Miguel do Araguaia";1;-;1;2
"522040 São Simão";4;-;-;4
"522045 Senador Canedo";17;-;-;17
"522050 Serranópolis";1;-;-;1
"522060 Silvânia";3;-;-;3
"522068 Simolândia";2;-;-;2
"522119 Terezópolis de Goiás";1;-;-;1
"522140 Trindade";8;-;2;10
"522150 Turvânia";2;-;1;3
"522155 Turvelândia";1;-;1;2
"522160 Uruaçu";3;-;1;4
"522170 Uruana";1;-;-;1
"522180 Urutaí";1;-;-;1
"522185 Valparaíso de Goiás";17;3;-;20
"522190 Varjão";2;-;1;3
"522200 Vianópolis";1;-;-;1
"522220 Vila Boa";4;-;-;4
"522230 Vila Propício";3;-;-;3
"520000 Município ignorado - GO";1;-;-;1
"530010 Brasília";299;32;15;346
"Total";24397;2807;1375;28579
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
